date;open;high;low;close;volume
20131227;000000;153.8500000;154.0800000;153.8500000;154.0800000;79
20131228;000000;154.0800000;154.0800000;154.0800000;154.0800000;23
20131230;000000;154.0800000;154.0800000;154.0000000;154.0000000;74
20131231;000000;154.0000000;154.3000000;154.0000000;154.3000000;119
20140101;000000;154.3000000;154.3000000;154.3000000;154.3000000;21
20140102;000000;154.3000000;154.3000000;154.2500000;154.2500000;99
20140103;000000;154.2500000;154.3000000;154.2500000;154.2800000;127
20140104;000000;154.2800000;154.2800000;154.2800000;154.2800000;19
20140106;000000;154.2800000;154.8000000;154.2800000;154.8000000;92
20140107;000000;154.8000000;154.8000000;154.7800000;154.7800000;161
20140108;000000;154.7800000;154.7800000;154.4500000;154.5000000;165
20140109;000000;154.5000000;154.6500000;154.5000000;154.6500000;143
20140110;000000;154.6500000;154.6500000;154.6000000;154.6000000;163
20140111;000000;154.6000000;154.6000000;154.6000000;154.6000000;23
20140112;000000;154.6000000;154.6000000;154.6000000;154.6000000;8
20140113;000000;154.6000000;157.7200000;154.6000000;157.7200000;84
20140114;000000;157.7200000;157.7200000;154.8800000;154.8800000;139
20140115;000000;154.8800000;155.0800000;154.8800000;155.0800000;125
20140116;000000;155.0800000;155.2000000;155.0800000;155.2000000;163
20140117;000000;155.2000000;155.2000000;155.1000000;155.1000000;133
20140118;000000;155.1000000;155.1000000;155.1000000;155.1000000;19
20140120;000000;155.1000000;155.3000000;155.1000000;155.3000000;120
20140121;000000;155.3000000;155.3200000;155.3000000;155.3200000;97
20140122;000000;155.3200000;155.3200000;155.1000000;155.1000000;121
20140123;000000;155.1000000;155.1000000;155.0000000;155.0000000;151
20140124;000000;155.0000000;155.2200000;155.0000000;155.2200000;97
20140125;000000;155.2200000;155.2200000;155.2200000;155.2200000;17
20140127;000000;155.2200000;155.2500000;155.2000000;155.2500000;90
20140128;000000;155.2500000;155.3500000;155.2500000;155.3500000;169
20140129;000000;155.3500000;155.4500000;155.3500000;155.4000000;193
20140130;000000;155.4000000;155.4500000;155.4000000;155.4500000;179
20140131;000000;155.4500000;155.4500000;155.4500000;155.4500000;155
20140201;000000;155.4500000;155.4500000;155.4500000;155.4500000;17
20140202;000000;155.4500000;155.4500000;155.4500000;155.4500000;4
20140203;000000;155.4500000;155.5500000;155.4500000;155.5000000;114
20140204;000000;155.5000000;155.6000000;155.5000000;155.6000000;82
20140205;000000;155.6000000;155.6000000;155.5500000;155.5500000;89
20140206;000000;155.5500000;155.5500000;155.5000000;155.5000000;79
20140207;000000;155.5000000;155.6500000;155.5000000;155.6500000;29
20140209;000000;155.6500000;155.6500000;155.6500000;155.6500000;0
20140217;000000;184.4500000;184.4500000;184.4500000;184.4500000;0
20140219;000000;184.6200000;184.6200000;184.6000000;184.6000000;0
20140220;000000;186.0000000;186.0000000;186.0000000;186.0000000;0
20140221;000000;184.4000000;184.4000000;184.4000000;184.4000000;0
20140223;000000;184.4000000;184.4000000;184.4000000;184.4000000;0
20140225;000000;184.5000000;184.5000000;184.5000000;184.5000000;0
20140226;000000;184.8000000;184.8500000;184.8000000;184.8500000;0
20140227;000000;184.1500000;184.1500000;184.1500000;184.1500000;0
20140228;000000;184.4000000;184.4000000;184.4000000;184.4000000;0
20140303;000000;184.4000000;184.4000000;182.8500000;182.8500000;0
20140304;000000;181.8500000;181.8500000;181.8000000;181.8000000;0
20140305;000000;182.4800000;182.4800000;182.4800000;182.4800000;0
20140306;000000;182.4500000;182.4500000;182.4500000;182.4500000;0
20140309;000000;182.4800000;182.4800000;182.4800000;182.4800000;0
20140310;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140311;000000;183.0000000;183.0000000;182.0500000;182.0500000;0
20140312;000000;182.3800000;182.3800000;182.3800000;182.3800000;0
20140313;000000;182.3800000;182.3800000;182.0800000;182.0800000;0
20140314;000000;182.6600000;182.6600000;182.6600000;182.6600000;0
20140317;000000;182.6600000;182.6600000;182.6600000;182.6600000;0
20140318;000000;182.1500000;182.1800000;182.1500000;182.1800000;0
20140319;000000;181.9000000;181.9000000;181.9000000;181.9000000;0
20140320;000000;182.2500000;182.2500000;182.2500000;182.2500000;0
20140321;000000;182.2200000;182.2300000;182.2200000;182.2300000;0
20140324;000000;182.2300000;182.2300000;182.0500000;182.0500000;0
20140325;000000;182.2500000;182.2500000;182.2500000;182.2500000;0
20140326;000000;182.0200000;182.0200000;182.0000000;182.0000000;0
20140327;000000;182.0000000;182.0000000;181.9500000;181.9000000;0
20140328;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20140330;000000;181.9000000;181.9000000;181.9000000;181.9000000;0
20140331;000000;181.8500000;181.8800000;181.8500000;181.8800000;0
20140401;000000;181.9200000;181.9200000;181.8500000;181.9000000;0
20140402;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140403;000000;181.9000000;181.9000000;181.8000000;181.8000000;0
20140404;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20140407;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20140408;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140409;000000;181.8000000;182.0000000;181.8000000;182.0000000;35
20140410;000000;182.0000000;182.0000000;181.0000000;181.0000000;71
20140411;000000;181.0000000;181.8200000;181.0000000;181.8200000;71
20140412;000000;181.8200000;181.8200000;181.8200000;181.8200000;6
20140414;000000;181.8200000;182.0000000;181.8200000;182.0000000;109
20140415;000000;182.0000000;182.0200000;182.0000000;182.0000000;86
20140416;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140417;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140418;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140419;000000;182.0000000;182.0000000;182.0000000;182.0000000;9
20140421;000000;182.0000000;182.0000000;182.0000000;182.0000000;82
20140422;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140423;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140424;000000;182.0000000;182.0000000;181.9500000;181.9800000;115
20140425;000000;181.9800000;182.0000000;181.9800000;182.0000000;109
20140426;000000;182.0000000;182.0000000;182.0000000;182.0000000;9
20140428;000000;182.0000000;182.5000000;181.8200000;182.5000000;77
20140429;000000;182.5000000;182.5000000;182.0500000;182.0500000;80
20140430;000000;182.0500000;182.0500000;182.0000000;182.0000000;65
20140501;000000;182.0000000;182.0200000;182.0000000;182.0200000;65
20140502;000000;182.0200000;182.0200000;182.0200000;182.0200000;0
20140503;000000;182.0200000;182.0200000;182.0200000;182.0200000;11
20140505;000000;182.0200000;182.0200000;182.0000000;182.0000000;48
20140506;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140507;000000;182.0300000;182.0300000;182.0300000;182.0300000;0
20140512;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140513;000000;182.0200000;182.0200000;182.0200000;182.0200000;0
20140514;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140515;000000;181.9800000;181.9800000;181.9700000;181.9700000;0
20140516;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140518;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140519;000000;182.1500000;182.1500000;182.1500000;182.1500000;0
